payment_id,user_id,application_id,application_type,payment_method,payment_type,payment_refs,amount,status,paid_at
pm001,f001,1,catalog,qris,full,ref001,5000000,paid,2026-01-08 18:18:13.830860
pm002,f001,1,catalog,qris,full,ref002,5000000,paid,2026-01-08 18:19:45.772088
pm003,p005,5,job,qris,full,ref003,20000000000,paid,2026-01-09 17:36:32.614596
pm004,f012,2,catalog,cash,full,ref004,20000000,pending,
pm005,p002,7,job,qris,full,ref005,200000000000,paid,2026-01-09 21:54:45.154214
pm006,p002,7,job,cash,full,ref006,200000000000,pending,
pm007,f001,5,catalog,qris,full,ref007,500000,paid,2026-01-09 22:07:17.059121
pm008,p002,10,job,qris,full,ref008,3000000,paid,2026-01-13 18:35:29.596733
pm009,f017,7,catalog,cash,full,ref009,1500000,pending,
pm010,f017,7,catalog,qris,full,ref010,1500000,paid,2026-01-13 18:47:38.832190
