judul,deskripsi,tema,lokasi,tanggal,waktu,tipe_budget,budget
wedding,we hire a professional photographer for wedding ceremony,wedding,Bandung,19-02-24,09:09,2,5000000
birthday,photographer for kids birthday party,birthday,Jakarta,05-03-24,14:00,1,300000
graduation,graduation photoshoot session,graduation,Yogyakarta,12-04-24,10:30,2,2500000
engagement,engagement photoshoot outdoor,engagement,Bali,20-05-24,16:00,2,4000000
product,product photoshoot for online shop,product,Surabaya,02-06-24,13:00,1,200000
event,company annual meeting documentation,event,Jakarta,18-07-24,09:00,2,3500000
fashion,fashion photoshoot for catalog,fashion,Bandung,25-08-24,11:00,1,450000
family,small family photoshoot,family,Malang,10-09-24,08:30,2,1800000
concert,live music concert documentation,concert,Semarang,30-10-24,19:00,1,600000
prewedding,prewedding photoshoot at beach,prewedding,Lombok,15-11-24,15:30,2,5500000
